date,carrier,flight,dep_delay,origin,dest
2013-04-26,WN,404,35,LGA,MKE
2013-02-26,AA,1999,-6,EWR,MIA
2013-02-15,US,1445,-3,LGA,CLT
2013-03-27,9E,3452,-1,JFK,BOS
2013-06-05,EV,5699,-2,LGA,IAD
2013-02-16,MQ,3768,13,EWR,ORD
2013-05-01,9E,3465,-2,JFK,BOS
2013-10-20,DL,87,23,JFK,ATL
2013-11-11,MQ,3355,-10,LGA,BNA
2013-08-31,DL,1547,-4,LGA,ATL
2013-11-04,US,629,6,JFK,PHX
2013-04-19,MQ,4255,NA,JFK,BNA
2013-03-10,MQ,4649,7,LGA,MSP
2013-07-29,MQ,3493,-9,LGA,CLE
2013-12-07,AA,1223,NA,EWR,DFW
2013-10-04,UA,1246,4,EWR,SFO
2013-06-04,B6,391,-6,LGA,MCO
2013-03-10,B6,341,5,JFK,SRQ
2013-12-08,B6,308,-8,JFK,PWM
2013-07-19,EV,3823,64,EWR,SDF
2013-05-23,DL,947,87,LGA,ATL
2013-08-13,EV,4537,-6,EWR,MEM
2013-10-29,UA,1401,-4,EWR,MIA
2013-03-26,MQ,4425,-4,JFK,DCA
2013-06-16,DL,1163,0,JFK,LAX
2013-04-19,EV,4898,92,EWR,ATL
2013-10-18,B6,683,-3,JFK,MCO
2013-05-17,EV,4971,-7,LGA,CHS
2013-07-19,B6,686,-3,JFK,ROC
2013-01-25,DL,2363,114,JFK,LAX
2013-10-14,DL,1729,33,JFK,LAS
2013-03-05,AA,1762,-2,JFK,BOS
2013-07-10,UA,1183,7,EWR,RSW
2013-01-11,UA,1175,-1,EWR,RSW
2013-03-23,B6,677,-1,JFK,LAX
2013-08-04,WN,427,6,LGA,MDW
2013-11-18,B6,1403,-6,JFK,SJU
2013-08-29,MQ,3301,40,LGA,RDU
2013-02-04,B6,1601,-3,LGA,RSW
2013-12-29,UA,327,7,EWR,PDX
2013-02-07,EV,4702,-3,EWR,GSO
2013-06-02,B6,119,25,JFK,MSY
2013-09-26,UA,587,1,EWR,LAS
2013-03-30,B6,545,-4,EWR,PBI
2013-01-30,UA,717,0,EWR,BOS
2013-03-10,DL,2370,-5,LGA,PBI
2013-07-28,MQ,3231,-11,JFK,PIT
2013-11-30,B6,299,-14,LGA,MCO
2013-08-24,DL,1465,-2,JFK,SFO
2013-04-01,UA,1214,49,EWR,DEN
2013-06-14,EV,4233,2,EWR,BTV
2013-05-26,9E,3400,-3,JFK,MKE
2013-03-14,MQ,4534,-10,LGA,XNA
2013-12-21,UA,341,101,EWR,LAX
2013-04-08,US,1657,-11,JFK,CLT
2013-06-06,DL,1375,-7,JFK,SLC
2013-10-12,WN,1135,-4,EWR,MSY
2013-06-09,B6,43,34,JFK,MCO
2013-08-28,EV,4181,232,EWR,MCI
2013-06-22,EV,4522,4,EWR,BNA
2013-02-17,B6,1085,18,JFK,CLT
2013-07-10,9E,4079,NA,JFK,BWI
2013-10-20,B6,505,-3,EWR,FLL
2013-08-20,AA,361,-8,LGA,ORD
2013-02-17,WN,298,-1,EWR,HOU
2013-08-11,MQ,3535,19,JFK,CMH
2013-09-25,EV,5208,-9,LGA,RIC
2013-06-29,AA,85,64,JFK,SFO
2013-08-27,DL,1247,-6,LGA,ATL
2013-08-25,EV,4672,59,EWR,STL
2013-11-09,EV,4179,-3,EWR,BOS
2013-01-17,DL,963,12,JFK,LAX
2013-11-30,B6,225,29,JFK,TPA
2013-09-05,AA,2437,-6,LGA,MIA
2013-02-13,DL,1345,-1,JFK,PHX
2013-07-05,B6,927,1,EWR,MCO
2013-12-06,UA,15,2,EWR,HNL
2013-10-07,EV,4567,25,EWR,MCI
2013-07-14,AA,1757,-3,JFK,TPA
2013-03-07,B6,709,-6,JFK,SJU
2013-09-02,EV,5797,9,EWR,RIC
2013-08-14,DL,954,-8,LGA,FLL
2013-04-09,B6,701,1,JFK,SJU
2013-05-14,UA,1591,8,EWR,IAH
2013-08-28,MQ,3567,25,LGA,CLT
2013-01-08,AA,759,-6,LGA,DFW
2013-11-03,EV,4388,-5,EWR,JAX
2013-09-28,DL,1174,-4,LGA,PBI
2013-04-20,EV,4636,18,EWR,DCA
2013-11-12,EV,5242,32,LGA,GSO
2013-10-23,US,1808,-8,EWR,CLT
2013-10-05,DL,2019,-6,LGA,MSP
2013-11-12,B6,1289,0,EWR,SJU
2013-08-16,UA,1627,-4,EWR,PBI
2013-06-06,B6,56,23,JFK,BTV
2013-11-15,B6,116,-6,JFK,SYR
2013-06-29,DL,1394,1,JFK,PDX
2013-11-28,US,2028,2,LGA,PHL
2013-01-23,UA,680,0,LGA,IAH
2013-08-30,AA,613,3,JFK,MIA
